DIRECTORIO,CANT_HOG_COMPLETOS,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,P1070,P4005,P4015,P4567,P8520,P8520S1,P8520S1A1,P8520S3,P8520S4,P8520S4A1,P8520S5,P4065,P4065S1,P4065S2,P4065S3,P4065S4,P5661,P5661S1,P5661S2,P5661S3,P5661S4,P5661S5,P5661S6,P5661S7,P5661S9,P1891,P1891S1,P1891S2,P1891S3,P1891S4,P1891S5,FEX_C,CLASE
6000000,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,4,1,1,4,1, ,2,2,1,2,2,2246,29287409386
6000001,1,1,1,1,1,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,3,3,2,2,3,2, ,1,1,1,1,1,2866,7522374918
6000002,1,1,1,1,2,1,6,3, ,1,1,1,1,3,1, ,1,2,2,2, ,2,3,2,2,2,3,4,3, ,1,1,1,1,1,2851,50229401111
6000003,1,1,1,1,2,1,6,3, ,1,1,1,1,3,1, ,1,2,2,2, ,2,3,3,3,2,3,4,3, ,1,1,1,1,1,2870,1398177933
6000005,1,1,1,1,2,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,2,1,4,2,1, ,1,2,1,2,2,2252,8576889304
6000006,1,1,1,1,2,1,4,3, ,1,1,1,1,3,1, ,1,2,2,2, ,3,3,4,4,4,3,4,4, ,1,2,1,2,2,2090,10329084383
6000008,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,4,3,3,3,2,4,2,2, ,1,1,1,1,1,2270,38111641433
6000009,1,1,1,1,1,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,4,1,1,1,1,2,1, ,1,1,1,2,2,2273,21683985532
6000010,1,1,1,1,1,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,4,4,4,1,1,4,1, ,1,1,2,2,2,2241,36340541398
6000011,1,1,1,1,1,1,4,1, ,1,3,1,1,2,1, ,2,2,2,2, ,4,1,1,2,1,4,2,1, ,2,1,2,2,2,2206,31376084916
6000012,1,1,1,1,1,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,3,2,1,3,1,3,4,1, ,2,2,2,2,2,1848,71475370233
6000013,1,1,1,1,1,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,3,1,1,1,2,1, ,2,2,2,2,2,1655,7689079334
6000015,1,1,1,1,1,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,1,3,1,1,1,1, ,2,2,2,2,2,2934,72190999767
6000016,1,1,1,1,1,1,4,1, ,1,3,1,1,3,1, ,2,2,2,2, ,1,2,2,1,2,2,3,1, ,2,2,2,2,2,1788,83434331794
6000017,1,1,1,1,1,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,4,1,1,1,1,1,2,1, ,2,2,2,2,2,1820,77727583771
6000019,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,2,1,2,1,2,2340,15072814838
6000020,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,3,1,1,1,1,1,4,1, ,1,2,2,2,2,2105,36514784542
6000021,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,4,1,4,1,1,1,2,1, ,1,2,1,2,2,2721,38696829907
6000022,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,4,1,1, ,2,1,1,1,2,108,46912925121
6000023,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,1,1,1,1,2,1, ,2,1,2,2,2,91,5.28416E+12
6000024,1,1,1,1,2,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,2,1,1,1,2,1, ,2,2,2,2,2,91,5.28416E+12
6000025,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,1,1,3,2,1, ,1,2,2,2,2,172,7.46763E+11
6000026,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,2,3,1,1,2,1, ,2,2,2,2,2,214,96401688913
6000027,2,1,1,1,1,3,7,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,4,1,1,1,4,1, ,2,1,1,2,1,273,77427720977
6000028,1,1,1,1,1,3,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,1,1,1,1,2,140,3.09555E+11
6000029,1,1,1,1,2,1,4,4, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,2,2,2,2,2,137,2.61081E+11
6000030,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,343,4.89659E+11
6000031,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,1,1, ,1,3,3,3,2,3,4,1, ,1,2,2,1,1,97,8.78876E+12
6000032,1,1,1,1,2,1,6,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,2, ,2,2,2,2,2,1509,67559523903
6000033,1,1,1,1,2,1,6,1, ,1,2,1,1,3,1, ,2,2,2,2, ,2,1,1,2,1,1,1,1, ,2,2,2,2,2,1393,22888205779
6000034,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,2,2,1,2,1,1, ,2,2,2,2,2,901,1.89402E+11
6000035,1,1,1,1,2,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,2,1,2,2,1,2,2,1, ,2,2,2,2,2,1041,98126324301
6000036,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,2,2,2,1, ,2,2,2,2,2,854,9.94354E+11
6000037,1,1,1,1,2,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,1,1,2,1,2,2,1, ,2,2,2,2,2,399,24241311402
6000039,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,4,4,3,4,1,2,3,1, ,2,1,2,2,2,442,2.06118E+11
6000042,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,2,2,2,2,1, ,2,2,2,2,2,2533,19378375486
6000043,1,1,1,1,1,1,4,2, ,1,2,1,1,3,1, ,2,2,2,2, ,1,3,1,3,3,1,3,1, ,2,2,2,2,2,2446,56883372698
6000044,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,2,2,2,1,1,2,1, ,2,2,2,2,2,2886,80709162512
6000045,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,2,1,1,1,2,1, ,2,2,2,2,2,2409,22458228129
6000046,1,1,1,1,2,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,3,1,1,1,4,1, ,2,2,2,2,2,2732,11053676786
6000047,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,4,1,2,3,1,1,1,1, ,2,2,2,2,2,2814,52958604635
6000048,2,1,1,1,2,1,4,2, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,2,2,2,2,2,1, ,1,1,1,2,2,2119,93108914143
6000049,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,2,1,2,1,1,1, ,2,2,2,2,2,1896,6395410426
6000050,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2389,9896144105
6000051,1,1,1,1,1,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2918,48042682157
6000052,1,1,1,1,1,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,3,1,1, ,1,1,2,2,2,1611,55194865214
6000053,1,1,1,1,2,1,6,1, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,1,2,2,2,2,2347,70059775214
6000054,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,1,1,1,2,2,2,1, ,2,2,2,2,2,2157,382600729
6000055,1,1,1,1,1,1,4,3, ,1,1,2,1,3,1, ,2,2,2,2, ,1,2,1,1,1,1,1,1, ,2,2,2,2,2,1844,38940895651
6000056,1,1,1,1,1,1,4,1, ,1,3,1,1,3,1, ,2,2,2,2, ,2,2,1,1,1,1,1,1, ,1,1,1,2,1,1972,38982829102
6000057,1,1,1,1,2,1,4,4, ,1,3,1,1,3,1, ,2,2,2,2, ,2,1,3,4,1,3,3,1, ,2,1,1,2,1,3217,76447283289
6000058,1,1,1,1,1,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,3,1, ,2,2,2,2,2,2493,25741164453
6000059,1,1,1,1,1,1,4,4, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,1,1, ,2,2,2,2,2,2634,29064486908
6000060,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,3,1,1,1,1,1, ,2,2,2,2,2,2106,83011563794
6000061,1,1,1,1,1,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,1,1,2,2,2,2591,85256066678
6000062,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,3,1,1,1,1,1,1, ,2,2,2,2,2,2510,6403761422
6000063,1,1,1,1,1,1,6,4, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,2,1,1,3,1, ,2,2,2,2,2,2782,64520154823
6000064,1,1,1,1,2,1,6,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2330,55389726967
6000065,1,1,1,1,1,1,4,3, ,1,2,1,1,2,1, ,2,2,2,2, ,2,2,1,1,1,1,2,1, ,2,1,1,2,2,163,75671762972
6000066,1,1,1,1,1,1,6,3, ,1,2,1,1,2,1, ,2,2,2,2, ,1,2,1,1,1,1,4,1, ,1,2,1,1,2,154,46845828318
6000067,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,2,4,1,1,1,2,2,1, ,2,1,1,2,2,164,1.82747E+11
6000068,1,1,1,1,1,1,4,3, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,164,1.82747E+11
6000069,1,1,1,1,1,1,6,3, ,1,2,1,1,2,1, ,2,2,2,2, ,2,1,1,1,1,1,4,1, ,2,2,2,2,2,160,2.36074E+11
6000070,1,1,1,1,1,1,6,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,1,2,2,173,8.92619E+11
6000071,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,3,2,2,2,2,3,1, ,2,2,2,2,2,282,7.16162E+11
6000072,1,1,1,1,1,1,4,4, ,1,1,1,1,3,1, ,2,2,2,2, ,4,1,2,1,1,4,2,1, ,2,2,2,2,2,310,6.54044E+11
6000073,1,1,1,1,1,1,6,4, ,1,1,1,1,2,1, ,2,2,2,2, ,2,2,2,1,1,2,2,1, ,2,2,2,1,2,246,4.92172E+11
6000074,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,2,2,1,1,2,1, ,1,1,2,1,1,522,94937187259
6000075,1,1,1,1,1,1,4,4, ,1,1,1,1,2,1, ,2,2,2,2, ,4,2,2,1,1,2,1,1, ,1,2,2,2,2,445,6.02683E+11
6000076,1,1,1,1,2,1,4,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,2,2,1,2,2,1, ,2,2,2,2,2,246,4.92172E+11
6000077,1,1,1,1,1,8,6,4, ,1,1,1,1,2,1, ,2,2,2,2, ,1,2,2,1,1,2,2,1, ,2,2,2,2,2,445,6.02683E+11
6000079,1,1,1,1,1,1,4,4, ,1,1,1,1,2,1, ,2,2,2,2, ,2,2,1,1,1,2,2,1, ,2,2,2,2,2,310,6.54044E+11
6000080,1,1,1,1,1,8,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,2,1,1,2,2,1, ,2,2,2,2,2,246,4.92172E+11
6000082,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,2,1,1,1,2,395,7.02169E+11
6000083,1,1,1,1,2,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,4,1,1,1,1,1,1,1, ,2,1,2,2,2,246,4.92172E+11
6000084,1,1,1,1,2,1,6,4, ,1,1,1,1,2,1, ,2,2,2,2, ,2,2,1,1,1,2,2,1, ,2,2,2,2,2,246,4.92172E+11
6000085,1,1,1,1,1,1,4,4, ,1,2,1,1,3,2, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,2,2,2,2,2,616,4.77854E+11
6000086,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,873,3.18521E+11
6000087,1,1,1,1,1,1,4,4, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,2,2,2,2,2,304,57616603319
6000088,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,2,2,1,1,2,2,1, ,2,2,2,2,2,421,91020140746
6000089,1,1,1,1,1,1,4,3, ,1,3,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,2, ,1,1,1,2,1,475,8.9837E+11
6000090,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,2,1, ,2,1,1,2,2,393,2.01353E+11
6000091,1,1,1,1,1,4,5,2, ,1,2,2,1,1,1, ,2,2,2,1, ,1,2,1,2,3,1,2,3, ,2,2,1,2,1,1570,98855946625
6000092,1,1,1,1,1,1,4,3, ,1,1,2,1,1,1, ,2,2,2,2, ,1,1,1,1,1,1,2,1, ,2,2,2,2,2,300,9.9037E+11
6000093,1,1,1,1,1,3,4,2, ,1,2,2,1,1,1, ,1,2,2,2, ,1,1,1,1,1,1,1,1, ,2,1,2,1,1,183,3.11469E+11
6000094,1,1,1,1,1,3,5,2, ,1,2,2,1,1,1, ,2,2,2,2, ,1,1,1,1,1,1,2,1, ,2,1,2,1,1,389,3.44186E+11
6000095,1,1,1,1,1,1,4,4, ,1,2,2,1,1,1, ,2,2,2,2, ,1,1,1,2,1,1,2,1, ,2,2,2,2,2,253,9.81682E+11
6000096,1,1,1,1,2,1,4,1, ,1,3,1,1,2,1, ,2,2,2,2, ,3,1,3,3,1,1,1,1, ,2,2,2,2,2,1261,9006512301
6000097,1,1,1,1,2,1,4,4, ,1,3,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,922,4.77655E+11
6000098,1,1,1,1,2,1,4,3, ,1,4,1,1,2,1, ,2,2,2,2, ,1,1,1,4,4,1,1,1, ,2,2,2,2,2,1567,14204062307
6000099,1,1,1,1,2,1,5,2, ,1,2,1,1,2,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,2,2,2,2,2,1185,50488363538
6000100,1,1,1,1,2,1,4,2, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1567,14204062307
6000101,1,1,1,1,2,1,4,2, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1418,64779595075
6000102,1,1,1,1,2,1,4,3, ,1,2,1,1,2,1, ,2,2,2,2, ,1,3,1,1,1,4,1,1, ,2,2,2,2,2,1340,87732809188
6000103,1,1,1,1,2,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,3,1,1,1,2,2,1, ,1,2,1,2,2,1290,32442707602
6000104,1,1,1,1,1,1,4,3, ,1,2,1,1,2,1, ,2,2,2,2, ,4,2,2,1,1,1,1,1, ,2,2,2,2,1,732,8.57025E+11
6000105,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1110,39743269221
6000106,1,1,1,1,2,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,2,2,2,2,1, ,2,2,2,2,2,1142,58376120667
6000107,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,2,2,1,2,2,2, ,2,2,2,2,2,666,3.22576E+11
6000108,1,1,1,1,2,1,4,3, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1145,86163352186
6000109,1,1,1,1,1,1,4,4, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,2,1,1,4,4,1, ,2,1,1,2,2,2168,89721998695
6000110,1,1,1,1,1,1,6,1, ,1,1,1,1,2,1, ,2,2,2,2, ,4,1,1,4,4,1,1,1, ,2,1,2,2,2,1571,11655241402
6000111,1,1,1,1,2,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,2,4,4,2,1,4,1,1, ,2,2,2,2,2,1639,50484494269
6000112,1,1,1,1,1,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,1,2,2,2,1822,60108746436
6000113,1,1,1,1,2,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,2,1,1,2,4,1, ,2,2,2,2,2,3101,40702573307
6000114,1,1,1,1,2,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1418,77360586487
6000115,1,1,1,1,2,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,2,1,1,4,3,1,1, ,2,2,2,2,2,2235,14239798135
6000116,1,1,1,1,2,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,2,1,2,1,2,1,2,2, ,2,1,1,2,1,1756,67263133593
6000117,1,1,1,1,2,1,6,2, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1976,1610899437
6000118,1,1,1,1,2,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1455,35708812627
6000119,1,1,1,1,2,1,4,3, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,4,1,1,1,1, ,1,1,1,2,2,1339,59762383852
6000122,1,1,1,1,2,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,4,1,1, ,2,2,2,2,2,1743,23383926271
6000123,1,1,1,1,2,1,4,1, ,1,2,1,1,2,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,2,2,2,2,2,2314,3183800077
6000124,1,1,1,1,2,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,1,1,2,2,1,1141,66755671739
6000125,1,1,1,1,2,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,1616,52229234767
6000126,1,1,1,1,1,1,4,1, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2634,27404500725
6000128,1,1,1,1,1,1,4,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2072,99402227519
6000129,1,1,1,1,2,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,4713,63043948548
6000130,1,1,1,1,1,1,6,3, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,3,2,1, ,2,1,2,2,2,5019,70224602885
6000131,1,1,1,1,2,1,6,4, ,1,1,1,1,2,1, ,2,2,2,2, ,1,2,2,2,2,4,4,1, ,1,1,1,2,1,7536,72840020725
6000132,1,1,1,1,1,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,1,2,2,1,1,1,1,1, ,2,2,1,2,2,4728,86936904074
6000133,1,1,1,1,2,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,1,1,1,1,1,2,1,1, ,2,2,2,2,2,4594,7481491396
6000134,1,1,1,1,2,1,4,1, ,1,1,1,1,2,1, ,2,2,2,2, ,2,2,1,1,4,2,1,1, ,1,2,2,2,2,6351,97480173569
6000136,1,1,1,1,1,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,1,1,1,1,1, ,2,2,2,2,2,4396,14453030213
6000137,1,1,1,1,2,1,6,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,2,1,1,1,1,2, ,2,2,2,2,2,4195,37904826401
6000138,1,1,1,1,1,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,2,2,2,3,3,3, ,2,2,2,2,2,3610,64238921563
6000139,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,4,1,1,1,1,1,1,1, ,2,2,2,2,2,5831,21911425122
6000140,1,1,1,1,1,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,1,1,2,1,1,4, ,2,2,2,2,2,3265,23593614556
6000141,1,1,1,1,2,1,4,1, ,1,1,2,1,3,1, ,1,2,2,2, ,1,4,4,4,1,1,4,4, ,2,2,2,2,2,4471,6639779434
6000143,1,1,1,1,1,1,4,1, ,1,1,2,1,3,1, ,2,2,2,2, ,1,3,2,2,1,3,3,3, ,1,1,2,2,2,3043,40948917371
6000144,1,1,1,1,2,1,6,3, ,1,1,2,1,2,1, ,2,2,2,2, ,1,3,4,2,2,1,4,4, ,2,2,2,1,2,3322,14408555028
6000145,1,1,1,1,1,1,6,1, ,1,1,2,1,3,1, ,2,2,2,2, ,2,3,3,3,2,3,3,3, ,1,1,2,2,2,2807,58213590625
6000146,1,1,1,1,2,1,4,3, ,1,1,2,1,3,1, ,1,2,2,2, ,1,2,2,1,1,3,3,2, ,2,1,2,2,2,4524,19370769766
6000147,1,1,1,1,2,1,4,3, ,1,1,2,1,3,1, ,2,2,2,2, ,1,2,1,1,1,2,2,2, ,2,2,2,2,2,4739,879771313
6000148,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,2,2,2,2,1,2,1, ,1,1,1,2,1,587,6.16953E+11
6000150,1,1,1,1,1,1,4,4, ,1,1,1,1,3,1, ,2,2,2,2, ,3,3,2,1,1,2,2,1, ,2,2,2,2,2,372,6.31726E+11
6000152,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,4,4,4,1,1,2,2,1, ,2,2,2,2,2,442,2.06118E+11
6000153,1,1,1,1,2,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,2,2,1,2,2,1, ,2,1,2,2,2,418,1.49631E+11
6000154,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,601,2.68877E+11
6000155,1,1,1,1,1,1,6,4, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,2,1,2,2,1, ,1,1,2,2,2,250,2.79224E+11
6000156,1,1,1,1,3,1,6,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,2,1,2,2,2,470,5.01025E+11
6000157,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,2,1, ,2,2,2,2,2,250,2.79224E+11
6000158,1,1,1,1,3,1,6,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,1,1,2,2,2,315,4.26865E+11
6000159,1,1,1,1,2,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,1,1,1,2,2,1, ,2,2,2,2,2,428,3.92337E+11
6000160,1,1,1,1,2,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,2,1,2,2,2,442,2.06118E+11
6000162,1,1,1,1,2,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,697,4.91476E+11
6000163,1,1,1,1,1,1,6,4, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,1,1,1,1,2,315,4.26865E+11
6000164,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,2, ,2,2,2,2,2,250,2.79224E+11
6000166,1,1,1,1,2,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,1,1,2,2,2,727,49317096293
6000167,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,2,1, ,1,1,2,2,1,369,1.66675E+11
6000169,1,1,1,1,3,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,524,6.14936E+11
6000170,1,1,1,1,3,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,524,6.14936E+11
6000171,1,1,1,1,1,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,1,2,2,2,2,554,29825826751
6000172,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,2,1,1,2,1, ,2,2,2,2,2,369,1.66675E+11
6000174,1,1,1,1,1,1,1,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,250,2.79224E+11
6000175,1,1,1,1,1,1,6,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,2,2,2,2,2,4, ,1,1,2,1,2,279,5.72285E+11
6000176,1,1,1,1,2,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,2,1,2,2,4,2,1,1, ,2,1,2,2,2,315,4.26865E+11
6000177,1,1,1,1,1,2,4,2, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,2,1,1,2,2,1, ,1,1,2,2,1,1595,60748788622
6000178,1,1,1,1,1,1,4,2, ,1,3,1,1,3,1, ,2,2,2,2, ,1,2,2,1,1,3,1,2, ,2,1,2,2,2,1922,79708711624
6000179,1,1,1,1,1,1,4,2, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,2,1,1,3,2,1, ,2,2,1,2,2,1783,33186345859
6000180,1,1,1,1,1,1,4,2, ,1,3,1,1,3,1, ,2,2,2,2, ,3,1,1,1,1,2,3,1, ,2,2,1,2,1,1934,21013064475
6000181,1,1,1,1,1,1,4,2, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,2,2,1, ,2,2,2,2,2,2301,88431042184
6000182,1,1,1,1,1,1,4,5, ,1,3,1,1,3,1, ,2,2,2,2, ,1,2,2,1,1,3,1,1, ,2,1,2,2,2,2215,16996074938
6000183,1,1,1,1,1,1,4,2, ,1,3,1,1,3,1, ,2,2,2,2, ,1,3,1,1,1,3,2,1, ,1,1,2,2,2,1870,65607106471
6000184,1,1,1,1,2,1,4,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2890,36837180212
6000185,1,1,1,1,1,1,6,4, ,1,1,1,1,2,1, ,2,2,2,2, ,1,2,2,1,1,1,2,1, ,2,2,2,2,2,3113,14305543327
